cell_id,group,cycle,max_capacity_Ah,max_energy_Wh,voltage_max,voltage_min,voltage_mean,temp_mean,temp_max,duration_s,current_mean,current_std
001-2,G1,101,51.457568,159.35524,3.421198,2.5,3.096632886161317,35.09088211491772,40.9,3705.0,-49.983863126247634,0.8213327394581452
001-2,G1,151,52.03921,165.120571,3.497939,2.5,3.172938343383138,37.28153681963714,39.5,3746.9,-49.98404818890075,0.8166777844367977
001-2,G1,201,51.773452,161.708164,3.537156,2.5,3.1233106792705816,39.97945829981228,43.1,3727.8,-49.9839967369268,0.8187564811230422
001-2,G1,251,51.033355,158.527466,3.467797,2.5,3.106348478944413,31.94601347557552,38.6,3674.5,-49.983387227400335,0.8377278305631582
001-2,G1,301,51.140782,160.102158,3.508089,2.5,3.130446165852334,39.54552117263843,42.0,3682.2,-49.98372259554832,0.8238921108968491
001-2,G1,351,51.05382,159.954591,3.505936,2.5,3.1330107277672017,41.36524340494969,43.6,3675.9,-49.9837851291814,0.8245877297749751
001-2,G1,401,50.634642,158.431678,3.541923,2.5,3.1289625756578947,40.57486293859648,42.9,3645.8,-49.96995467790571,1.1705142694263988
001-2,G1,451,50.014276,154.786302,3.470719,2.5,3.0946638187621427,29.303746877602,36.2,3601.1,-49.98351801304468,0.8330713173439938
001-2,G1,501,49.572479,150.430019,3.473948,2.5,3.0344275435452257,31.555810697283675,39.1,3569.3,-49.98328947969756,0.8367022582841852
001-2,G1,551,49.57252,148.06618,3.516701,2.5,2.986772338560627,48.11839820778494,50.7,3569.3,-49.983397004200505,0.8366707584518104
001-2,G1,601,49.476719,156.858142,3.497939,2.5,3.170178380471381,28.36969696969697,30.8,3562.4,-49.98333560549944,0.8373404674616551
001-2,G1,651,48.803264,154.363527,3.515933,2.5,3.162914491607397,26.555504978662874,28.8,3513.9,-49.983131803129446,0.8429369024622205
001-2,G1,701,48.606047,153.765517,3.494094,2.5,3.1634033296201087,26.962125107112254,29.3,3499.7,-49.983182240217076,0.8450267298374478
001-2,G1,751,48.295537,153.086364,3.521777,2.5,3.1696159344639265,29.19364759988503,31.5,3477.4,-49.983064430583504,0.8476613378517864
001-3,G1,1,52.599607,160.257656,3.150868,2.500154,3.0465703877012404,37.3784639746635,46.7,3787.2,-49.997370486935864,0.0018468633056757252
001-3,G1,51,51.162327,156.440952,3.48825,2.5,3.0576894249660787,48.77910447761194,52.7,3683.8,-49.983834549525106,0.8236262238663119
001-3,G1,101,49.846471,151.107066,3.435193,2.5,3.031293023948761,38.35864661654135,46.6,3589.1,-49.98347067195767,0.8343971249416267
001-3,G1,151,49.112773,149.935388,3.497478,2.5,3.05274204522329,48.61772187676654,51.5,3536.2,-49.983281818824196,0.8407802452684914
001-3,G1,201,48.13775,146.823185,3.504091,2.5,3.049894589100346,48.14382929642445,51.4,3466.0,-49.982932822376014,0.848970739566767
001-3,G1,251,46.871391,141.249562,3.43873,2.5,3.0135494123931625,35.92600732600732,45.5,3374.8,-49.982108286324795,0.8735924556658528
